.01 PRIMARY ID	.02 TPA ID	.03 CLAIM OFFICE ID	.04 CLAIM TYPE	.05 DATE/TIME LAST MODIFIED	.08 TEST or PRODUCTION	.09 DELETED / INACTIVE	.11 EXCLUDED SERVICE CLAIM TYPE	.12 EXCLUDED SERVICE LAST UPDATED	
free text	free text	free text	set of codes	date	boolean	boolean	set of codes	date	
20818			1	"JUL 8,2012@15:09"					
20934			1	"JAN 15,2013@10:32"					
21132			1	"JUL 8,2012@15:10"					
21313			1	"JUN 14,2012@09:01"					
22099	22099		1	"APR 2,2012@07:34"					
22175			1	"JUL 8,2012@15:10"					
22248			1	"JUL 8,2012@15:10"					
22254			1	"MAY 15,2012@11:11"					
22264			1	"MAY 23,2012@06:41"					
22284			1	"JUL 8,2012@15:11"					
22285			1	"JUN 19,2012@07:07"					
22286			1	"JUN 19,2012@07:07"					
22304			1	"JUL 8,2012@15:11"					
22321			1	"JUL 16,2012@19:58"					
22322			3	"JUN 19,2012@09:20"					
22326			1	"JUL 8,2012@15:11"					
22345			1	"JUN 25,2012@07:03"					
22348			1	"JUL 16,2012@19:58"					
22521	22521		1	"MAY 31,2012@06:46"					
22770			2	"DEC 14,2018@15:35"					
22771			1	"APR 3,2012@09:12"					
23037			1	"JUN 19,2012@07:08"					
23045	24705		2	"DEC 10,2012@10:40"			2		
23051			1	"JUL 8,2012@15:12"					
23079			1	"JUL 8,2012@15:12"					
23130			1	"JUL 8,2012@15:12"					
23160	HDM01	9716	2	"OCT 4,2012@06:20"			2		
23160	HDM01	9716	3	"OCT 4,2012@06:20"			3		
23171			1	"JUN 19,2012@07:08"					
23172			1	"JUN 21,2012@08:43"					
23212			1	"JUL 8,2012@15:13"					
23222	23222		1	"JUN 28,2012@09:03"					
23223			1	"JUL 8,2012@15:13"					
23228	23228		1	"JAN 28,2013@09:05"					
23229			1	"JUN 14,2012@13:04"					
23241			2	"JUL 8,2012@15:14"					
23243			1	"JUL 8,2012@15:14"					
23249			1	"JUL 8,2012@15:15"					
23250			1	"JUL 8,2012@15:15"					
23253			1	"JUL 8,2012@15:16"					
23266			1	"JUL 8,2012@15:16"					
23274			1	"JUL 16,2012@20:00"					
23281	23281		1	"JUN 14,2012@09:02"					
23282			1	"JUL 16,2012@20:00"					
23284			1	"JUL 8,2012@15:17"					
23285			1	"JUL 16,2012@20:00"					
23287			1	"JUL 16,2012@20:01"					
23550			1	"JUL 8,2012@15:17"					
23641			2	"OCT 16,2017@11:45"					
23706			1	"JUL 8,2012@15:18"					
23708	23708		1	"MAR 29,2012@11:15"					
23710			1	"JUN 14,2012@09:03"					
23738	23740		2	"JUL 2,2012@07:51"					
23740			2	"JUL 2,2012@09:09"					
24245			2	"MAR 20,2018@15:52"					
24735			1	"JUN 26,2012@07:15"					
24770			1	"JUL 8,2012@15:18"					
24818			1	"JUL 8,2012@15:18"					
24819			1	"JUN 21,2012@09:14"					
25059			1	"OCT 2,2020@09:53"					
25125			1	"DEC 10,2012@10:49"					
25133	25133		1	"MAY 31,2012@06:47"					
25145			1	"JUN 19,2012@07:10"					
25169			1	"DEC 10,2012@10:49"					
25172			1	"DEC 10,2012@10:49"					
25175	25175		1	"JAN 28,2013@09:05"					
25181			1	"DEC 10,2012@10:50"					
25404			1	"MAY 31,2012@08:47"					
25531			1	"MAY 23,2012@06:42"					
25681			2	"DEC 10,2012@10:50"					
25711			1	"DEC 10,2012@10:50"					
25849			1	"FEB 1,2018@17:31"					
26054			1	"DEC 10,2012@10:51"					
26078			1	"JUN 19,2012@07:10"					
26119	26119		1	"SEP 11,2015@13:25"					
26141			2	"MAR 6,2012@11:51"					
26274			2	"DEC 10,2012@10:51"					
26337			1	"DEC 10,2012@10:51"					
26374			1	"AUG 7,2019@11:42"					
26492			1	"JAN 15,2013@10:33"					
27008			1	"MAY 31,2012@08:45"					
27009			1	"DEC 10,2012@10:52"					
27094	27094		1	"JAN 28,2013@09:06"					
27133			1	"DEC 10,2012@10:52"					
27514			1	"DEC 10,2012@10:53"					
27515			1	"DEC 10,2012@10:53"					
27516	27516		1	"JAN 28,2013@09:07"					
27517			1	"JUL 8,2012@15:19"					
27518			1	"JUL 8,2012@15:19"					
27519			1	"JUL 8,2012@15:20"					
28021			2	"AUG 6,2020@08:44"					
29076	29076		1	"MAY 31,2012@06:47"					
30005			1	"JUL 8,2012@15:41"					
30103			1	"MAY 19,2020@21:29"					
31048			1	"JUL 8,2012@15:41"					
31053	31053		1	"MAR 29,2012@11:05"					
31074			1	"JUL 8,2012@15:42"					
31107	31107		1	"MAR 29,2012@11:06"					
31114			1	"JUL 16,2012@20:03"					
31118	HDM01	9711	2	"MAY 16,2012@06:28"			2		
31118	HDM01	9711	3	"MAY 16,2012@06:28"			3		
31125			1	"SEP 24,2019@18:27"					
31127			1	"JUL 8,2012@15:43"					
31129			1	"JUL 8,2012@15:43"					
31138			1	"JUL 8,2012@15:44"					
31144			1	"JUL 8,2012@15:44"					
31147			1	"JUN 26,2012@07:17"					
31172			1	"MAR 15,2012@07:06"					
31313			1	"JUL 8,2012@15:44"					
31401			1	"NOV 10,2020@13:37"					
31404			1	"NOV 30,2021@10:31"					
31417			1	"JUL 16,2012@20:04"					
31441			1	"JUL 8,2012@15:45"					
31472			1	"JUL 8,2012@15:45"					
31478			1	"JUL 8,2012@15:46"					
31625			1	"DEC 12,2011@11:59"					
31828			1	"FEB 6,2019@12:55"					
32004			1	"JUL 8,2012@15:46"					
32006			1	"JUL 8,2012@15:46"					
32052			1	"DEC 1,2017@16:23"					
33001			1	"JUN 25,2012@07:06"					
33005			1	"JUN 19,2012@07:11"					
33010			3	"JUL 8,2012@15:46"					
33053			1	"JUL 8,2012@15:47"					
33065			1	"JUL 8,2012@15:47"					
33069			1	"JUL 8,2012@15:47"					
33072			1	"JUL 8,2012@15:48"					
33104			1	"JUL 8,2012@15:48"					
33192			1	"JUN 19,2012@07:11"					
33373			1	"JUL 8,2012@15:49"					
33898			1	"JUL 8,2012@15:49"					
34092			1	"JUN 14,2012@08:44"					
34097	13193	0060	2	"APR 5,2013@10:39"			2		
34097	13193	0060	3	"APR 5,2013@10:39"			3		
34108			1	"JUL 8,2012@15:49"					
34131			1	"JUL 16,2012@20:05"					
34134			1	"JUL 16,2012@20:06"					
34136			1	"JUL 8,2012@15:50"					
34145			1	"JUN 27,2012@08:35"					
34150	34150		1	"FEB 28,2022@15:54"					
34154			1	"JUL 16,2012@20:07"					
34158	34158		1	"MAY 17,2019@11:25"					
34167			1	"JUL 16,2012@20:07"					
34171			1	"JUN 27,2012@08:35"					
34177			1	"JUL 8,2012@15:50"					
34181			1	"JUL 8,2012@15:50"					
34185			1	"JUL 8,2012@15:51"					
34186			1	"MAY 1,2019@16:14"					
34187			1	"JUL 8,2012@15:52"					
34189			1	"JUL 8,2012@15:52"					
34192			1	"JUN 5,2012@10:13"					
34196			1	"JUL 8,2012@15:53"					
34638			1	"JUL 8,2012@15:53"					
35092	HDM01	9711	2	"MAY 16,2012@06:30"			2		
35092	HDM01	9711	3	"MAY 16,2012@06:30"			3		
35101			1	"JUL 8,2012@15:51"					
35107			1	"JUL 8,2012@15:51"					
35128			1	"JUL 2,2012@09:03"					
35149			1	"AUG 19,2019@10:30"					
35161			3	"JAN 15,2013@10:34"					
35162			1	"JUN 21,2012@09:16"					
35164			1	"JUN 14,2012@09:04"					
35174			1	"DEC 10,2012@10:54"					
35182	35182		1	"MAR 29,2012@11:06"					
35183			1	"JUL 8,2012@15:54"					
35186			1	"JUN 21,2012@08:44"					
35187			1	"JUL 8,2012@15:54"					
35189			1	"JUL 8,2012@15:54"					
35193			1	"JUN 27,2012@08:35"					
35198			1	"JUN 26,2012@07:19"					
35202			1	"JUN 27,2012@08:35"					
35204			1	"JUL 2,2012@09:09"					
35206			1	"JUL 8,2012@15:55"					
35212			1	"DEC 28,2018@16:06"					
35245			1	"DEC 18,2013@06:43"					
35600			1	"JUL 16,2012@20:09"					
35605	35605		1	"MAR 29,2012@11:06"					
35749			1	"AUG 23,2021@16:51"					
36066	36066		1	"APR 30,2012@06:36"					
36117	36117		1	"MAY 15,2012@11:13"					
36193			1	"JUL 2,2012@09:10"					
36215			1	"JUL 8,2012@15:56"					
36234			1	"JUL 8,2012@15:56"					
36273	36273		1	"APR 2,2012@07:22"					
36320			1	"JUL 8,2012@15:56"					
36330			1	"JUL 2,2012@09:06"					
36331			1	"AUG 19,2019@10:03"					
36332			1	"JUN 25,2012@07:07"					
36334			1	"MAR 15,2012@07:04"					
36335			1	"JUN 27,2012@08:36"					
36337			1	"MAR 20,2012@10:26"					
36338			1	"JUL 16,2012@10:06"					
36342			1	"JUN 19,2012@07:12"					
36345			1	"JUL 8,2012@15:57"					
36346			1	"JUL 8,2012@15:58"					
36348			1	"MAR 15,2012@07:07"					
36356			1	"JUL 2,2012@09:06"					
36364			1	"JUL 16,2012@20:10"					
36368			1	"MAR 7,2012@06:52"					
36369			1	"JUL 8,2012@15:59"					
36373			1	"JUL 8,2012@15:57"					
36385			1	"APR 3,2012@08:34"					
36387			1	"MAR 7,2012@06:50"					
36389			1	"JUN 20,2012@08:46"					
36390			1	"MAR 7,2012@06:53"					
36392			1	"JUL 8,2012@15:58"					
36399			1	"MAR 7,2012@06:54"					
36401			1	"JUL 16,2012@20:11"					
36402			1	"MAR 7,2012@06:49"					
36411			1	"MAR 7,2012@06:50"					
36412			1	"APR 3,2012@08:19"					
36426			1	"JUL 30,2012@11:18"					
36436			1	"JUN 20,2012@08:24"					
36477			1	"MAY 6,2021@13:26"					
36483			1	"JAN 4,2021@14:04"					
36609			1	"JUN 19,2012@07:12"					
37050			1	"FEB 1,2018@17:50"					
37105			1	"JUN 27,2012@14:22"					
37116			1	"JUL 8,2012@15:59"					
37118			1	"JUN 19,2012@07:13"					
37123			1	"JUN 20,2012@08:24"					
37129			1	"JUL 2,2012@09:11"					
37135			1	"JUL 8,2012@16:00"					
37136			1	"JUL 8,2012@16:00"					
37137			1	"JUL 8,2012@16:01"					
37217			1	"JUN 27,2012@08:30"					
37222			1	"JUN 19,2012@07:13"					
37224	37224		1	"JUL 16,2015@06:09"					
37225			1	"JUL 2,2012@09:05"					
37228			1	"JUL 16,2012@10:12"					
37230			1	"JUL 8,2012@16:01"					
37237			1	"JUL 8,2012@16:02"					
37242			1	"JUN 5,2012@10:10"					
37246			1	"JUN 20,2012@08:25"					
37247			1	"JUN 28,2012@09:04"					
37248			1	"DEC 10,2012@10:54"					
37253			1	"JUN 5,2012@10:11"					
37257			1	"DEC 10,2012@10:54"					
37260			1	"JUL 2,2012@09:07"					
37264			1	"JUL 2,2012@09:12"					
37268			2	"JUL 16,2012@10:03"					
37269			1	"JUL 2,2012@09:09"					
37272			1	"JUN 25,2012@07:07"					
37274			1	"JUL 2,2012@09:14"					
37282			1	"JUL 8,2012@16:02"					
37283			1	"JUN 27,2012@08:36"					
37286			1	"JUN 19,2012@07:14"					
37290			1	"JUL 30,2012@11:20"					
37297			2	"APR 18,2012@06:22"					
